ABCD john 836426498
14:02:03 ALICE99 End
14:02:05 CHARLIE End
14:02:34 ALICE99 End
14:02:58 ALICE99 Start
14:03:02 CHARLIE Start
14:03:33 ALICE99 Start
14:03:35 ALICE99 End
14:03:37 CHARLIE End
14:04:05 ALICE99 End
14:04:23 ALICE99 End
14:04:41 CHARLIE Start
14:04:45 ALICE99 Start
14:05:03 ALICE99 End
14:05:03 John CMP
14:05:05 SAM End
14:05:34 ALICE99 End
14:05:58 ALICE99 Start
14:06:02 CHARLIE Start
14:06:33 ALICE99 Start
14:06:33 ALICE99 End
14:06:35 ALICE99 End
14:06:37 CHARLIE End
14:07:05 ALICE99 End
14:07:23 SAM End
14:07:41 CHARLIE Start
14:07:45 SAM Start
14:07:45 SAM Start
14:07:45 SAM End
		14:07:44CHARLIE 			End
14:07:45 John End
14:07:45 John Start
14:07:45 John End
14:07:45 John   End
